The Tragically Hip,1996-07-20,https://www.youtube.com/watch?v=ZXruKYc2JRo,"Boulder, Colorado",,"Grace, Too / 700ft Ceiling...................................................click SHOW MORE to expand  vvv / Pigeon Camera..."
The Tragically Hip,1996-08-29,https://www.youtube.com/watch?v=PuBCMmKNYbo,"Carrboro, North Carolina",,"Springtime In Vienna / Grace, Too.......................................................click SHOW MORE to expand  vvv"
The Tragically Hip,1996-08-29,https://www.youtube.com/watch?v=PuBCMmKNYbo,"Carrboro, North Carolina",,"Springtime In Vienna / Grace, Too.......................................................click SHOW MORE to expand  vvv"
The Tragically Hip,1996-10-06,https://www.youtube.com/watch?v=onUnp8QymtM,"Burlington, Vermont",,"Grace, Too  (w/ (Early) Escape is at Hand - (April Wine) I'm On Fire For You Baby tags) / Springtime in Vienna"
The Tragically Hip,1996-10-06,https://www.youtube.com/watch?v=onUnp8QymtM,"Burlington, Vermont",,"Grace, Too  (w/ (Early) Escape is at Hand - (April Wine) I'm On Fire For You Baby tags) / Springtime in Vienna"
The Tragically Hip - (SBD),1996-11-13,https://www.youtube.com/watch?v=TeKAwnWWoXQ,Edmonton,SBD,"Grace, Too  (w/ Big Dumb Wind - Cookie Factory/Westwind) / Everytime You Go / Springtime In Vienna  (w/ 60 Seconds).........................click SHOW MORE to expand..."
The Tragically Hip - (Part 2),1996-11-26,https://www.youtube.com/watch?v=JmTCaDowlO8,Buffalo,,Put It Off  (w/ Procrastination tag) / New Orleans Is Sinking  (w/ (Bruce Cockburn) Tokyo tag) / Don't Wake Daddy...
The Tragically Hip,1996-11-26,https://www.youtube.com/watch?v=KSUEWWzQIu4,"Buffalo, New York",,"Gift Shop / Twist My Arm  (w/ (Todd Rundgren) It Wouldn't Have Made Any Difference tag) / Grace, Too"
The Tragically Hip - (Part I),1996-11-26,https://www.youtube.com/watch?v=mcdEeo7aTAs,Buffalo,,"Gift Shop / Twist My Arm  (w/ (Todd Rundgren) It Wouldn't Have Made Any Difference tag) / Grace, Too"
The Tragically Hip,1996-11-29,https://www.youtube.com/watch?v=Qm1GzHRMY4M,"Kanata, Ontario",,Gift Shop / Twist My Arm  (w/ (A Foot In Coldwater) Make Me Do Anything You Want tag)
The Tragically Hip - (Part 1),1996-12-09,https://www.youtube.com/watch?v=90E9_-3E8nM,Montreal,,"Gift Shop / Everytime You Go / Grace, Too  (w/ Songwriters' Cabal tag) / Springtime in Vienna / Twist..."
The Tragically Hip - (Part 2),1996-12-09,https://www.youtube.com/watch?v=eHawgNlJRaI,Montreal,,At the Hundredth Meridian  (w/ (Early) Poets - (Gordon Lightfoot) Black Day in July - Fear - (Early) Stay - Purple Paint tags)...
The Tragically Hip - 3 from SBD,1997,https://www.youtube.com/watch?v=ivyrBpa9Lkw,Berlin,SBD,The Luxury  (w/ If You Lived Here - Empty outro tag) / New Orleans Is Sinking  (w/ Plug Me In - Purple Paint - (Early/Spoken Word) Fireworks) / Put It Off
The Tragically Hip - 3 from SBD,1997,https://www.youtube.com/watch?v=ivyrBpa9Lkw,Berlin,SBD,The Luxury  (w/ If You Lived Here - Empty outro tag) / New Orleans Is Sinking  (w/ Plug Me In - Purple Paint - (Early/Spoken Word) Fireworks) / Put It Off
The Tragically Hip - Between Us Live 1997 SBD Compilation,1997,https://www.youtube.com/watch?v=sta00OpBnNE,,SBD,"Grace, Too  (w/ Window Washer rant) / Don't Wake Daddy / (Early) Membership........................................................click SHOW MORE to expand  vvv"
The Tragically Hip - (SBD),1997-05-07,https://www.youtube.com/watch?v=a1Tf4AgZCt0,"Utrecht, Holland",SBD,Gift Shop / Ahead By A Century / Springtime In Vienna  (w/ 60 Seconds)..............................................click SHOW MORE to expand  vvv / The Luxury...
The Tragically Hip - (SBD),1997-05-07,https://www.youtube.com/watch?v=bAqJnR2VtrM,Amsterdam,SBD,Intro & Gift Shop / Ahead By A Century..............................................click SHOW MORE to expand  vvv
The Tragically Hip,1997-05-10,https://www.youtube.com/watch?v=EzjMdL0YNw8,"Groningen, Holland",,"Gift Shop / Grace, Too  (w/ John Lennon at Oosterpoort)........click SHOW MORE to expand  vvv / An Inch An Hour"
The Tragically Hip,1997-05-11,https://www.youtube.com/watch?v=dChsO74VKGQ,"Utrecht, Holland",,"Gift Shop  (w/ Just Their Mortal Husks tag) / Fully Completely  (w/ (Early) Vapour Trails tag) / Grace, Too  (w/ Peacekeeper..."
The Tragically Hip - (Part 2),1997-06-09,https://www.youtube.com/watch?v=2tIA-PVmhYA,Toronto,,At The Hundredth Meridian (Conclusion) / (Early) Membership / Greasy Jungle / Coconut Cream / (Early)...
The Tragically Hip - (Part 1),1997-06-09,https://www.youtube.com/watch?v=qFCPnTpi_pk,Toronto,,"(Early) Save the Planet / Grace, Too  (w/ (Early) Poets tag) / Everytime You Go / Springtime in Vienna"
The Tragically Hip - Between Us Live 1998 SBD Compilation,1998,https://www.youtube.com/watch?v=8o3obAdaOJ4,,SBD,"Grace, Too  (w/ Finger Roll - Lofty Pines tag) / Chagrin Falls  (w/ (Bill Monroe) Born Free tag) / Membership  (Acoustic - With false start)....................................."
The Tragically Hip - (FM Radio Simulcast),1998,https://www.youtube.com/watch?v=T--FTyoOacA,Chicago,,Program & Band Intros / Interview / Fireworks / Ahead by a Century / Interview
The Tragically Hip,1998-07-22,https://www.youtube.com/watch?v=YRHj61YWWMI,New York City,,Poets Plus / Fireworks......................................................................click SHOW MORE to expand...
The Tragically Hip,1998-07-24,https://www.youtube.com/watch?v=IzsSPMZqmK4,New York City,,Save The Planet / Membership..................................................................click SHOW MORE to expand...
The Tragically Hip - (SBD),1998-07-30,https://www.youtube.com/watch?v=1jmEjGV4t6A,Sausalito,SBD,Membership / Something On / Ahead By A Century.......................................click SHOW MORE to expand  vvv / Bobcaygeon / Fireworks / Scared...
The Tragically Hip,1998-08-01,https://www.youtube.com/watch?v=S6M5VBfBYa4,"Aspen, Colorado",,"Grace, Too  (w/ (April Wine) I'm On Fire For You Baby tag) / Poets  (w/ (Howlin' Wolf) 300 Pounds of Joy..."
The Tragically Hip - (SBD),1998-08-03,https://www.youtube.com/watch?v=VNVb_u8PdLQ,Chicago,SBD,"Grace, Too  (w/ Finger Roll - Lofty Pines tag) / Poets / Gift Shop..........................................click SHOW MORE to expand   vvv / Fireworks"
The Tragically Hip,1998-08-10,https://www.youtube.com/watch?v=cbSaa6no-8Q,"Boston, Massachusetts",,Gift Shop  (w/ Lofty Pines tag) / Poets Plus  (w/ Nazi Artist).............................................click SHOW MORE to expand...
The Tragically Hip,1998-08-11,https://www.youtube.com/watch?v=kGjurbVPC-I,"Boston, Massachusetts",,"Grace, Too  (w/ Lofty Pines tag) / Poets.......................................................click SHOW MORE to expand..."
The Tragically Hip,1998-08-12,https://www.youtube.com/watch?v=u_u_R_mJTE4,"Boston, Massachusetts",,Poets  Plus / The Inevitability Of Death  (w/ The Burning Church - (BTO) You Ain't Seen Nothing Yet tags) / ...
The Tragically Hip,1998-08-13,https://www.youtube.com/watch?v=P5BmXlyG6UI,"Boston, Massachusetts",,700ft Ceiling / Poets................................................................................click SHOW MORE to expand...
The Tragically Hip,1998-08-22,https://www.youtube.com/watch?v=0RzXzfUmyW8,"Toledo, Ohio",,"Grace, Too / Poets Plus / Gift Shop / Thompson Girl / Nautical Disaster / Fireworks"
